OFFSETS ,"['12.74', '65.86', '7.38']"
GREENS ,"['25.48', '64.18', '35.72', '47.74']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['23.66', '51.49', '62.60']"
GREENS ,"['1.11', '50.26', '66.25', '51.62']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.06', '11.00', '44.20']"
GREENS ,"['42.34', '6.86', '27.74', '47.91']"
LAST_GREENS ,"['18.16', '32.40', '21.09']"
RESULTS:,84.59,95.83,122.00

OFFSETS ,"['31.06', '3.75', '40.19']"
GREENS ,"['40.16', '34.50', '63.29', '40.47']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['67.76', '10.31', '10.45']"
GREENS ,"['48.85', '26.64', '11.08', '64.00']"
LAST_GREENS ,"['11.65', '29.28', '5.00']"
RESULTS:,97.30,67.82,86.33

OFFSETS ,"['26.08', '56.31', '54.45']"
GREENS ,"['53.44', '41.79', '50.31', '24.07']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.46', '4.99', '19.52']"
GREENS ,"['48.69', '12.96', '42.84', '36.20']"
LAST_GREENS ,"['11.81', '11.20', '32.80']"
RESULTS:,155.61,105.44,109.33

OFFSETS ,"['69.36', '19.75', '4.95']"
GREENS ,"['44.47', '51.74', '60.82', '64.31']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['72.62', '1.40', '50.94']"
GREENS ,"['13.08', '56.73', '5.69', '2.68']"
LAST_GREENS ,"['47.42', '4.58', '66.32']"
RESULTS:,68.28,88.53,56.00

OFFSETS ,"['71.21', '33.74', '43.42']"
GREENS ,"['9.60', '15.88', '3.44', '39.58']"
LAST_GREENS ,"['50.90', '47.68', '29.42']"
RESULTS:,179.18,85.46,94.33

OFFSETS ,"['21.03', '58.17', '6.46']"
GREENS ,"['27.10', '60.88', '19.69', '48.32']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['46.51', '29.74', '69.09']"
GREENS ,"['26.01', '66.82', '11.55', '9.46']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['31.28', '52.90', '10.45']"
GREENS ,"['49.48', '9.83', '11.28', '12.85']"
LAST_GREENS ,"['11.02', '45.89', '56.15']"
RESULTS:,314.98,124.53,118.00

OFFSETS ,"['56.25', '42.66', '23.80']"
GREENS ,"['59.95', '38.84', '25.47', '36.23']"
LAST_GREENS ,"['0.55', '2.69', '32.77']"
RESULTS:,59.39,67.03,51.00

OFFSETS ,"['67.76', '11.54', '0.83']"
GREENS ,"['17.66', '26.64', '5.99', '64.00']"
LAST_GREENS ,"['42.84', '34.37', '5.00']"
RESULTS:,132.55,76.35,88.67

OFFSETS ,"['43.06', '10.25', '11.01']"
GREENS ,"['42.28', '7.37', '27.73', '19.45']"
LAST_GREENS ,"['18.22', '31.91', '49.55']"
RESULTS:,230.22,115.10,116.00

OFFSETS ,"['25.94', '30.10', '38.81']"
GREENS ,"['18.03', '9.18', '6.19', '61.74']"
LAST_GREENS ,"['42.47', '51.63', '7.26']"
RESULTS:,221.17,104.39,109.67

OFFSETS ,"['71.21', '33.74', '43.42']"
GREENS ,"['26.70', '12.11', '13.66', '39.88']"
LAST_GREENS ,"['33.80', '41.23', '29.12']"
RESULTS:,150.24,90.11,105.67

OFFSETS ,"['72.56', '61.65', '51.49']"
GREENS ,"['8.02', '2.98', '58.00', '51.66']"
LAST_GREENS ,"['52.48', '6.02', '17.34']"
RESULTS:,53.52,129.55,130.00

OFFSETS ,"['56.25', '42.66', '23.80']"
GREENS ,"['59.86', '38.84', '25.47', '38.15']"
LAST_GREENS ,"['0.64', '2.69', '30.85']"
RESULTS:,53.60,65.17,51.00

OFFSETS ,"['25.92', '41.99', '40.41']"
GREENS ,"['58.02', '46.98', '3.48', '60.29']"
LAST_GREENS ,"['2.48', '16.54', '8.71']"
RESULTS:,26.63,21.96,27.33

OFFSETS ,"['26.01', '62.55', '4.49']"
GREENS ,"['8.03', '0.97', '15.23', '55.41']"
LAST_GREENS ,"['52.47', '50.80', '13.59']"
RESULTS:,160.05,125.55,130.33

OFFSETS ,"['72.62', '23.34', '51.28']"
GREENS ,"['24.90', '60.10', '5.42', '12.54']"
LAST_GREENS ,"['35.60', '1.48', '56.46']"
RESULTS:,113.93,81.33,50.50

OFFSETS ,"['26.17', '31.37', '41.02']"
GREENS ,"['41.15', '45.91', '13.71', '60.59']"
LAST_GREENS ,"['19.35', '7.39', '8.41']"
RESULTS:,33.07,44.99,49.50

OFFSETS ,"['42.58', '50.18', '40.41']"
GREENS ,"['24.79', '48.53', '56.46', '51.63']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.85', '23.39', '41.08']"
GREENS ,"['25.59', '59.82', '13.70', '60.59']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.25', '42.66', '40.08']"
GREENS ,"['59.86', '37.27', '25.47', '38.15']"
LAST_GREENS ,"['0.64', '4.26', '30.85']"
RESULTS:,48.46,56.61,50.50

OFFSETS ,"['25.92', '1.12', '41.08']"
GREENS ,"['53.37', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['7.13', '7.55', '8.41']"
RESULTS:,33.78,45.15,49.50

OFFSETS ,"['42.70', '10.98', '44.15']"
GREENS ,"['57.19', '37.38', '27.81', '47.87']"
LAST_GREENS ,"['3.31', '1.81', '21.13']"
RESULTS:,25.90,54.79,51.00

OFFSETS ,"['25.92', '0.43', '41.08']"
GREENS ,"['53.37', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['7.13', '7.55', '8.41']"
RESULTS:,34.65,47.05,50.00

OFFSETS ,"['26.29', '41.99', '40.46']"
GREENS ,"['43.17', '46.95', '3.41', '60.34']"
LAST_GREENS ,"['17.33', '16.63', '8.66']"
RESULTS:,23.00,19.29,28.33

OFFSETS ,"['25.92', '31.18', '10.92']"
GREENS ,"['53.41', '45.75', '11.05', '60.59']"
