OFFSETS ,"['31.28', '54.02', '0.01']"
GREENS ,"['18.29', '9.83', '6.19', '12.85']"
LAST_GREENS ,"['42.21', '50.98', '56.15']"
RESULTS:,324.89,121.22,110.67

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['25.36', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '7.39', '8.41']"
RESULTS:,32.00,43.48,48.00

OFFSETS ,"['18.92', '55.79', '14.66']"
GREENS ,"['35.17', '64.99', '56.74', '16.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['37.03', '46.50', '62.17']"
GREENS ,"['9.49', '1.24', '4.69', '33.56']"
LAST_GREENS ,"['51.01', '61.06', '35.44']"
RESULTS:,315.45,147.78,129.67

OFFSETS ,"['67.76', '11.43', '0.17']"
GREENS ,"['17.66', '26.64', '5.99', '64.00']"
LAST_GREENS ,"['42.84', '34.37', '5.00']"
RESULTS:,132.55,76.35,88.67

OFFSETS ,"['45.69', '4.99', '19.52']"
GREENS ,"['48.51', '12.96', '42.84', '37.99']"
LAST_GREENS ,"['11.99', '11.20', '31.01']"
RESULTS:,148.40,103.02,107.00

OFFSETS ,"['9.75', '23.58', '51.89']"
GREENS ,"['52.74', '19.52', '32.94', '3.69']"
LAST_GREENS ,"['7.76', '14.54', '65.31']"
RESULTS:,256.50,111.05,91.67

OFFSETS ,"['37.03', '46.50', '62.13']"
GREENS ,"['27.34', '1.24', '65.39', '33.56']"
LAST_GREENS ,"['33.16', '0.37', '35.44']"
RESULTS:,142.20,158.74,130.67

OFFSETS ,"['73.41', '24.13', '51.92']"
GREENS ,"['53.02', '59.94', '7.83', '2.69']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.07', '10.98', '44.20']"
GREENS ,"['42.34', '37.36', '27.74', '47.91']"
LAST_GREENS ,"['18.16', '1.91', '21.09']"
RESULTS:,25.90,54.79,51.00

OFFSETS ,"['71.21', '33.74', '43.31']"
GREENS ,"['50.26', '59.73', '5.81', '1.86']"
LAST_GREENS ,"['10.24', '1.46', '67.14']"
RESULTS:,58.12,92.76,55.00

OFFSETS ,"['67.76', '10.13', '40.61']"
GREENS ,"['48.85', '26.64', '13.73', '64.00']"
LAST_GREENS ,"['11.65', '26.63', '5.00']"
RESULTS:,73.43,63.16,88.00

OFFSETS ,"['41.80', '61.93', '4.49']"
GREENS ,"['8.03', '2.98', '55.87', '51.66']"
LAST_GREENS ,"['52.47', '8.14', '17.34']"
RESULTS:,80.83,132.56,128.67

OFFSETS ,"['45.47', '42.69', '23.80']"
GREENS ,"['59.81', '8.34', '25.47', '38.02']"
LAST_GREENS ,"['0.69', '33.18', '30.98']"
RESULTS:,205.53,114.07,114.33

OFFSETS ,"['31.21', '29.76', '42.10']"
GREENS ,"['25.63', '45.91', '13.70', '62.79']"
LAST_GREENS ,"['34.87', '7.39', '6.21']"
RESULTS:,36.98,50.07,49.50

OFFSETS ,"['45.47', '42.66', '23.80']"
GREENS ,"['59.81', '38.84', '25.47', '36.10']"
LAST_GREENS ,"['0.69', '2.69', '32.90']"
RESULTS:,58.68,67.36,51.50

OFFSETS ,"['71.94', '61.65', '17.23']"
GREENS ,"['8.02', '3.26', '58.00', '14.56']"
LAST_GREENS ,"['52.48', '5.74', '54.44']"
RESULTS:,350.72,167.55,130.00

OFFSETS ,"['54.89', '29.76', '40.41']"
GREENS ,"['25.36', '39.24', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '14.07', '8.41']"
RESULTS:,40.63,34.19,46.00

OFFSETS ,"['31.21', '29.76', '43.32']"
GREENS ,"['59.15', '45.95', '13.70', '62.79']"
LAST_GREENS ,"['1.35', '7.35', '6.21']"
RESULTS:,37.16,49.83,49.00

OFFSETS ,"['1.86', '7.74', '51.73']"
GREENS ,"['48.14', '25.71', '7.07', '52.56']"
LAST_GREENS ,"['12.36', '34.22', '16.44']"
RESULTS:,121.13,67.29,73.33

OFFSETS ,"['25.91', '44.73', '40.41']"
GREENS ,"['41.06', '45.91', '13.70', '55.38']"
LAST_GREENS ,"['19.44', '7.39', '13.62']"
RESULTS:,21.89,35.35,49.00

OFFSETS ,"['56.28', '42.66', '23.80']"
GREENS ,"['59.86', '38.84', '25.47', '38.15']"
LAST_GREENS ,"['0.64', '2.69', '30.85']"
RESULTS:,53.60,65.17,51.00

OFFSETS ,"['31.21', '29.76', '42.09']"
GREENS ,"['25.63', '45.91', '13.70', '60.60']"
LAST_GREENS ,"['34.87', '7.39', '8.40']"
RESULTS:,31.83,44.28,48.50

OFFSETS ,"['25.92', '50.43', '40.41']"
GREENS ,"['24.98', '45.75', '13.70', '55.15']"
LAST_GREENS ,"['35.52', '7.56', '13.85']"
RESULTS:,35.97,43.22,48.00

OFFSETS ,"['26.17', '41.32', '41.02']"
GREENS ,"['25.45', '45.91', '13.70', '38.04']"
LAST_GREENS ,"['35.05', '7.39', '30.96']"
RESULTS:,48.20,49.83,49.50

OFFSETS ,"['26.16', '29.76', '40.41']"
GREENS ,"['41.05', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['19.45', '7.39', '8.41']"
RESULTS:,33.65,45.18,49.50

OFFSETS ,"['25.52', '8.23', '24.49']"
GREENS ,"['59.12', '45.68', '14.68', '60.50']"
LAST_GREENS ,"['1.38', '6.64', '8.50']"
RESULTS:,31.64,46.31,49.50

OFFSETS ,"['25.92', '44.73', '40.41']"
GREENS ,"['40.61', '45.91', '13.70', '55.38']"
LAST_GREENS ,"['19.89', '7.39', '13.62']"
RESULTS:,21.89,35.35,49.00

OFFSETS ,"['25.90', '44.73', '40.40']"
GREENS ,"['41.06', '45.91', '13.70', '55.38']"
LAST_GREENS ,"['19.44', '7.39', '13.62']"
RESULTS:,21.89,35.35,49.00

OFFSETS ,"['56.25', '27.74', '40.06']"
GREENS ,"['59.81', '37.27', '13.70', '58.47']"
LAST_GREENS ,"['0.69', '16.03', '10.53']"
RESULTS:,31.65,24.30,39.33

OFFSETS ,"['26.15', '1.27', '10.66']"
GREENS ,"['41.15', '46.87', '13.70', '60.59']"
LAST_GREENS ,"['19.35', '6.43', '8.41']"
RESULTS:,36.45,45.99,50.00

OFFSETS ,"['26.29', '41.99', '40.41']"
GREENS ,"['43.17', '46.95', '13.74', '55.30']"
LAST_GREENS ,"['17.33', '6.31', '13.70']"
RESULTS:,20.98,35.92,48.50

OFFSETS ,"['25.92', '44.43', '40.41']"
GREENS ,"['4.59', '46.98', '13.78', '60.29']"
LAST_GREENS ,"['55.91', '6.24', '8.71']"
RESULTS:,32.86,45.67,50.00

OFFSETS ,"['25.91', '50.18', '40.46']"
GREENS ,"['41.06', '45.91', '3.75', '55.38']"
LAST_GREENS ,"['19.44', '17.34', '13.62']"
RESULTS:,21.53,16.02,26.33

OFFSETS ,"['25.92', '29.10', '40.41']"
GREENS ,"['53.34', '46.98', '3.48', '60.29']"
LAST_GREENS ,"['7.16', '16.54', '8.71']"
RESULTS:,27.80,25.21,25.67

OFFSETS ,"['25.92', '50.23', '40.41']"
GREENS ,"['24.79', '45.91', '3.59', '60.12']"
LAST_GREENS ,"['35.71', '17.50', '8.88']"
RESULTS:,34.89,26.75,40.33

OFFSETS ,"['55.04', '42.58', '40.08']"
GREENS ,"['59.72', '36.96', '13.70', '55.52']"
LAST_GREENS ,"['0.78', '16.34', '13.48']"
RESULTS:,20.75,16.80,12.00

OFFSETS ,"['25.91', '50.26', '44.11']"
GREENS ,"['41.06', '45.91', '3.75', '55.38']"
LAST_GREENS ,"['19.44', '17.34', '13.62']"
RESULTS:,21.80,16.54,25.33

OFFSETS ,"['43.07', '10.98', '40.43']"
GREENS ,"['26.01', '37.36', '27.74', '47.95']"
LAST_GREENS ,"['34.49', '1.91', '21.05']"
RESULTS:,24.21,54.12,51.00

OFFSETS ,"['25.91', '44.73', '40.40']"
GREENS ,"['41.06', '45.91', '3.37', '60.43']"
LAST_GREENS ,"['19.44', '17.72', '8.57']"
RESULTS:,26.15,21.31,30.33

OFFSETS ,"['27.12', '44.82', '40.41']"
GREENS ,"['40.64', '46.22', '13.78', '38.01']"
LAST_GREENS ,"['19.86', '7.00', '30.99']"
RESULTS:,48.88,50.58,49.50

OFFSETS ,"['43.07', '43.14', '40.50']"
GREENS ,"['42.34', '37.36', '27.74', '47.91']"
LAST_GREENS ,"['18.16', '1.91', '21.09']"
RESULTS:,23.09,52.58,51.00

OFFSETS ,"['43.07', '43.21', '40.28']"
GREENS ,"['42.51', '36.88', '13.73', '48.32']"
LAST_GREENS ,"['17.99', '16.39', '20.68']"
RESULTS:,24.90,17.87,16.33

OFFSETS ,"['25.92', '41.88', '40.41']"
GREENS ,"['40.92', '46.98', '3.38', '55.34']"
LAST_GREENS ,"['19.58', '16.64', '13.66']"
RESULTS:,11.98,11.39,9.00

OFFSETS ,"['26.91', '29.25', '40.41']"
GREENS ,"['43.17', '36.88', '27.93', '55.30']"
LAST_GREENS ,"['17.33', '2.19', '13.70']"
RESULTS:,22.72,52.64,51.50

